id,rfm_r,rfm_f,rfm_m
660,30805,2,31960.0
665,29676,1,19990.0
667,33157,1,6990.0
668,32773,2,41960.0
670,49501,1,6990.0
671,30325,3,85110.0
672,19764,12,113849.5
673,612,24,124524.0
676,27996,1,13990.0
677,28212,6,172440.0
678,33445,1,999.0
680,29484,2,54192.6
681,29844,3,20910.0
683,30541,2,22760.0
684,28644,1,6926.0
685,26796,5,126972.0
687,5662,4,71980.0
691,31549,1,4990.0
692,32821,1,18390.0
694,29508,1,2490.0
695,31285,2,46044.0
698,27612,5,67336.0
699,23628,4,85260.0
700,31261,1,3890.0
702,30421,6,364740.0
704,31357,2,30160.0
706,25548,2,3302.0
707,29532,1,5990.0
708,27516,3,87273.0
710,28404,8,285900.0
711,16500,10,77450.2
712,31117,1,4590.0
716,26340,21,533330.0
718,26148,5,48960.0
719,31525,3,49550.0
720,35101,29,323414.0
721,27876,11,405885.0
722,34117,2,17360.0
723,30517,1,5990.0
725,45133,1,8990.0
726,28092,1,29990.0
727,30637,2,49960.0
728,31285,1,9990.0
729,28644,1,5690.5
730,29508,2,20980.0
731,27924,1,6990.0
732,34093,4,100640.0
733,23065,1,22990.0
735,32677,1,27591.0
736,29388,10,340291.5
737,780,24,486334.0
738,34765,2,588.8
739,33133,1,9990.0
740,28860,2,636.0
741,27780,1,35990.0
744,14078,4,160100.0
745,6972,10,134462.5
747,25188,5,73350.0
749,2988,20,55762.0
750,31693,2,51960.0
751,25932,8,2730194.46
753,25020,4,32122.01
754,28428,10,2117831.0
756,28404,1,5990.0
758,30877,1,2390.0
759,31165,7,495910.0
760,33301,1,19990.0
761,29076,16,392110.0
763,32533,1,29990.0
764,27036,1,2090.0
766,39277,1,53190.5
767,31693,1,19990.0
769,34909,1,1995.0
771,29196,7,208775.0
773,32029,2,13525.0
774,26988,1,20346.0
775,3338,2,9789.0
776,27084,3,83910.0
777,34645,2,21360.0
778,29100,3,73410.0
779,34861,8,158840.0
780,32533,1,59990.0
781,29196,3,72555.0
784,32557,1,7990.0
785,2724,7,167969.0
789,24300,3,39250.0
790,33469,12,415240.0
791,29484,1,6990.0
793,22885,13,746903.1
794,33709,2,14280.0
795,21396,7,144972.0
796,33277,5,112430.0
797,31189,1,26990.0
799,15852,10,101384.0
800,30661,2,39980.0
801,30829,2,49980.0
803,22956,3,43250.0
804,33901,9,120070.0
805,27636,1,16990.0
807,34309,1,12990.0
810,32197,2,10690.0
812,28404,9,414351.0
813,28788,1,4490.0
816,34141,1,23990.0
818,32221,1,17990.0
820,15444,10,131574.1
